category,subcategory,code,name,type,meaning,question,cleaning_plan,cleaning_actual,new_variable
1,DM_m,DM1,age,integer,Age of the individual (worker),What is your age?,,,
1,DM_m,DM1a,year_birth,integer,Year birth of individual (worker),What is your year of birth?,"1. Generate new_age 2. If abs(age-new_age)<=1, use new_age 3. else, use age",,new_age
1,DM_m,DM1b,month_birth,integer,Month birth of individual (worker),What is your birth month?,,,
1,DM_m,DM2,married,factor,"0 = Single, 1 = Married, 100 = Others",What is your marital status?,,,
1,DM_m,DM3,educ,factor,"0 = Did not finish elementary school(below 8th grade), 1 = Graduated from elementary school (8th grade), 2 = graduated from junior secondary school (10th grade), 3 = Graduated from vocational education (TVET), 4 = Graduated from senior secondary school (12th grade), 5 = Attended or completed college",What's your highest education level?,generate a high-educ variable (>=3),,higheduc
1,DM_m,DM3a,school_yesno,factor,"0 = No, 1 = Yes",Are you taking any evening or weekend classes?,,,
1,DM_m,DM3b,school_name,character,"If they answer ""Yes"" to taking a class",What is the name of the school?,,,
1,DM_m,DM3c,school_diploma,factor,"0 = TVET diploma, 1 = Diploma from a college or university, 2 = Degree from a college or university, 3 = Others",What degree are you studying?,,,
1,DM_m,DM3co,school_diploma_other,character,If individual is not studying the listed degrees,"If you choose ""Other"", please briefly describe.",,,
1,DM_m,DM3d,school_fee,numeric,Tuition fee for individual,How much tuition fee do you need to pay for a whole year?,,,
1,JA_m,JA1a,reason_salary,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because the salary here is high?,,,
1,JA_m,JA1b,reason_interest,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because the work is interesting?,,,
1,JA_m,JA1c,reason_tiring,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because the work is not tiring?,,,
1,JA_m,JA1d,reason_learn,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because you want to learn some skills?,,,
1,JA_m,JA1e,reason_style,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because you want to adopt a new work culture?,,,
1,JA_m,JA1f,reason_quickjob,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because you can get a job quickly?,,,
1,JA_m,JA1g,reason_family,character,"0 = No, 1 = Yes, 100 = Not Sure",Did you apply for this job because you want to support your family financially?,,,
1,JA_m,JA1h,reason_school,character,"0 = No, 1 = Yes, 100 = Not Sure","Did you apply for this job because you want to cover some of your expenditure, for example, evening (or weekend) classes?",,,
1,JA_m,JA2(a),plan_year,integer,"If workers answer less than 1 year, please type 0 here and type in the next question.",How many years do you plan to work in this industrial park? (Year),,,
1,JA_m,JA2(b),plan_month,integer,Number of months individual plans to work,How many years do you plan to work in this industrial park? (Month),,,
1,JA_m,JA3(a),plan_school_year,integer,"If workers answer less than 1 year, please type 0 here and type in the next question.",How many years do you plan to attend the evening (or weekend) class? (Year),,,
1,JA_m,JA3(b),plan_school_month,integer,Number of months individual plans to go to school,How many years do you plan to attend the evening (or weekend) class? (Month),,,
1,JA_m,JA4,plan_marry,factor,"0 = No, 1 = Yes, -7 = I do not know, -8 = Not sure, -9 = Not applicable","If you are single currently, would you consider marriage within 5 years?",,,
1,JA_m,JA6,plan_startown,factor,"0 = No, 1 = Yes, 100 = Not Sure",Would you consider starting your own business in the future?,,,
1,JA_m,JA7,plan_migrate,factor,"0 = No, 1 = Yes, 100 = Not Sure",Would you consider moving to another city in the future?,,,
1,JA_m,JA7s,plan_migrate_des,character,What city (are) an individual wants to move if they answered yes to plan_migrate,Where do you want to move to?,generate a new variable to see if workers plan to move to Addis,,
1,JA_m,JA8,plan_migrate_home,factor,"0 = No, 1 = Yes, -7 = I do not know, -8 = Not sure, -9 = Not applicable",Would you consider moving back to where your parents live?,,,
1,TR_m,TR1,trust_anoctr,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust people from another country.,,,
1,TR_m,TR2,trust_samelang,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust people from Ethiopia who speak the same language.,,,
1,TR_m,TR3,trust_difflang,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust people from Ethiopia who speak a different language.,,,
1,TR_m,TR4,trust_govt,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust people from the government.,,,
1,TR_m,TR5,trust_ethnres,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust Ethiopian researchers.,,,
1,TR_m,TR6,trust_ancres,factor,"0 = Strongly agree, 1 = Somewhat agree, 2 = Neither agree nor disagree, 3 = Somewhat disagree, 4 = Strongly Disagree",To what extent do you agree: I trust researchers from another country.,,,
1,DM_e,DM4,language,factor,"0 - Sidamagna, 1 = Kembatigna, 2 = Dawerogna, 3 = Gedeogna, 4 = Hadigna, 5 = Amharic, 6 = Oromifa, 7 = Tigrinya, 8 = Wolaytigna, 9 = Halaba, 10 = Guraghe, 11 = Siltigna, 100 = Others",What language do you speak at home? (Please select all that apply.),"generate new variables: whether workers speak Amharic, Sidamagna, or others",done,"lang_sidama, lang_amhar, lang_other"
1,DM_e,DM4o,language_other,factor,"If they chose other for DM4, list language","If you choose ""Other"", please specify",,,
1,DM_e,DM4a,language_0,factor,"0 = No (does not speak Sidamagna), 1 = Yes (does speak Sidamagna)",What language do you speak at home? (Please select all that apply.),,done,lang_sidama
1,DM_e,DM4b,language_5,factor,"0 = No (does not speak Amharic), 1 = Yes (does speak Amharic)",What language do you speak at home? (Please select all that apply.),,done,lang_amhar
1,DM_e,DM5,religion,factor,"0 = Protestant, 1 = Orthodox, 2 = Catholic, 3 = Muslim, 4 = Traditional Religions, 100 = Others",What's your religion?,,,
1,DM_e,DM5o,religion_other,character,"If they chose other for DM4, list religion","If you choose ""Other"", please specify",,,
